lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype
,,10 km,mile,miila,mil,mil,mil_DEU,N,TRAVEL
,,Alattio,Alta,Álaheadju,Alta,Alta,Alta,N,mPLACENAME
,,Finnmark,Finnmark,Finnmárku,Finnmark,Finnmark,Finnmark,N,mPLACENAME
,,Helsinki,Helsinki,Helsset,Helsingfors,Helsingfors,Helsinki,N,mPLACENAME
,,Hetta,Hetta,Heahttá,Hetta,Hetta,Hetta,N,mPLACENAME
,,Inari,Inari,Anár,Enare,Enare,Inari,N,mPLACENAME
,,Jokkmokk,Jokkmokk,Johkamohkki,Jokkmokk,Jokkmokk,Jokkmokk,N,mPLACENAME
,,Jällivaara,Gällivare,Jiellevárri,Gällivare,Gällivare,Gällivare,N,mPLACENAME
,,Kaarasjoki,Karasjok,Kárášjohka,Karasjok,Karasjok,Karasjok,N,mPLACENAME
,,Kaivuono,Kåfjord,Gáivuotna,Kåfjord,Kåfjord,Kåfjord,N,mPLACENAME
,,Kilpisjärvi,Kilpisjärvi,Gilbbesjávri,Kilpisjärvi,Kilpisjärvi,Kilpisjärvi,N,mPLACENAME
,,Kirkkoniemi,Kirkenes,Girkonjárga,Kirkenes,Kirkenes,Kirkenes,N,mPLACENAME
,,Koutokeino,Kautokeino,Guovdageaidnu,Kautokeino,Kautokeino,Kautokeino,N,mPLACENAME
,,Lemmijoki,Lakselv,Leavdnja,Lakselv,Lakselv,Lakselv,N,mPLACENAME
,,Luujärvi,Lovozero,Lujávri,Lovozero,Lovozero,Lovozero,N,mPLACENAME
,,Máze,Máze,Máze,Máze,Máze,Máze,N,mPLACENAME
,,Naavuono,Kvænangen,Návuotna,Kvænangen,Kvänangen,Kvænangen,N,mPLACENAME
,,Norja,Norway,Norga,Norge,Norge,Norwegen,N,mPLACENAME
,,Norjan puolella,Norjan puolella_ENG,Norgga bealde,på norsk side,på norsk side_SWE,på norsk side_DEU,Mwe,EXPRESSIONS
,,Norjan puoli,Norjan puoli_ENG,Dáža bealli,norsk side,norsk side_SWE,norsk side_DEU,Mwe,EXPRESSIONS
,,Olmaivankka,Manndalen,Olmmáivággi,Manndalen,Manndalen,Manndalen,N,mPLACENAME
,,Omavuono,Storfjord,Omasvuotna,Storfjord,Storfjord,Storfjord,N,mPLACENAME
,,Porsanki,Porsanger,Porsáŋgu,Porsanger,Porsanger,Porsanger,N,mPLACENAME
,,Pyssyjoki,Børselv,Bissojohka,Børselv,Børselv,Børselv,N,mPLACENAME
,,Rovaniemi,Rovaniemi,Roavvenjárga,Rovaniemi,Rovaniemi,Rovaniemi,N,mPLACENAME
,,Ruotsi,Sweden,Ruoŧŧa,Sverige,Sverige,Schweden,N,mPLACENAME
,,Ruotsin puolella,Ruotsin puolella_ENG,Ruoŧa bealde,på svensk side,på svensk side_SWE,på svensk side_DEU,Mwe,EXPRESSIONS
,,Skånland,Skånland,Skánit,Skånland,Skånland,Skånland_DEU,N,mPLACENAME
,,Suomen puolella,Suomen puolella_ENG,Suoma bealde,på finsk side,på finsk side_SWE,på finsk side_DEU,Mwe,EXPRESSIONS
,,Suomi,Finland,Suopma,Finland,Finland,Finnland,N,mPLACENAME
,,Sørøya,Sørøya,Sállan,Sørøya,Sørøya,Sørøya,N,mPLACENAME
,,Teno,Tana,Deatnu,Tana,Tana,Tana,N,mPLACENAME
,,Tromssa,Tromsø,Romsa,Tromsø,Tromsö,Tromsø,N,mPLACENAME
,,Tysfjord,Tysfjord,Divttasvuotna,Tysfjord,Tysfjord,Tysfjord,N,mPLACENAME
,,Utsjoki,Utsjok,Ohcejohka,Utsjok,Utsjok,Utsjok,N,mPLACENAME
,,Uuniemi,Nesseby,Unjárga,Nesseby,Nesseby,Nesseby,N,mPLACENAME
,,Varanki,Varanger,Várjjat,Varanger,Varanger,Varanger_DEU,N,mPLACENAME
,,Venäjä,Russia,Ruošša,Russland,Ryssland,Russland_DEU,N,mPLACENAME
,,Venäjän puolella,Venäjän puolella_ENG,Ruošša bealde,på russisk side,på russisk side_SWE,på russisk side_DEU,Mwe,EXPRESSIONS
,,Vesisaari,Vadsø,Čáhcesuolu,Vadsø,Vadsø,Vadsø,N,mPLACENAME
,,Yykeä,Lyngen,Ivgu,Lyngen,Lyngen,Lyngen_DEU,N,mPLACENAME
,,aamukahvi,morning coffee,iđitgáffe,morgenkaffe,morgonkaffe,morgenkaffe_DEU,N,DRINK
,,aamulla,aamulla_ENG,iđđes,om morgenen,om morgonen,om morgenen_DEU,Adv,CHRISTMAS
,,ahkera,ahkera_ENG,viššal,flittig,flitig,flittig_DEU,A,CHRISTMAS
,,ahkera,ahkera_ENG,áŋgir,ivrig,flitig,ivrig_DEU,A,HUM_A
,,aika paljon,aika paljon_ENG,eatnat,ganske mye,ganska mycket,ganske mye_DEU,Adv,DIV_ADV
,,aikaisin,early,árrat,tidlig,tidig,tidlig_DEU,A,OBJECT_A
,,aikataulu,timetable,diibmoplána,timeplan,schema,timeplan_DEU,N,SCHOOL
,,aikataulu,timetable,tiibmaplána,timeplan,schema,timeplan_DEU,N,SCHOOL
,,aikoa,intend,áigut,skulle,ämna,beabsichtigen,V,AUX_V
,,aikoja sitten,aikoja sitten_ENG,áigá dassái,for lenge siden,for lenge siden_SWE,for lenge siden_DEU,Mwe,EXPRESSIONS
,,aikominen,intention,áigumuš,hensikt,avsikt,hensikt_DEU,N,THOUGHT
,,aikuinen,adult,rávesolmmoš,voksen,vuxen,voksen_DEU,N,OTHERS
,,aina,always,álo,alltid,alltid,immer,Adv,CHRISTMAS
,,aita,aita_ENG,áidi,gjerde,stängsel,gjerde_DEU,N,CONSTRUCTION
,,aitaus,aitaus_ENG,gárdi,innhengning,inhängning,innhengning_DEU,N,CONSTRUCTION
,,aitta,aitta_ENG,buvri,bu,bod,bu_DEU,N,BUILDING
,,aitta,aitta_ENG,áiti,stabbur,härbre,stabbur_DEU,N,BUILDING
,,aivan hyvin,aivan hyvin_ENG,áibbas bures,helt bra,helt bra_SWE,helt bra_DEU,Mwe,EXPRESSIONS
,,aivan,aivan_ENG,áibbas,aldeles,alldeles,aldeles_DEU,Adv,CHRISTMAS
,,ajaa takaa,ajaa takaa_ENG,vuojehit,drive,drive_SWE,drive_DEU,V,YYY
,,ajaa,drive,vuodjit,kjøre,köra,fahren,V,CITY
,,ajaja,driver,vuoddji,sjåfør,chaufför,sjåfør_DEU,N,PROFESSION
,,ajankohtainen,contemporary,áigeguovdil,tidsaktuell,tidsenlig,tidsaktuell_DEU,A,CITY
,,ajankulu,ajankulu_ENG,áigegollu,tidsfordriv,tidsfordriv_SWE,tidsfordriv_DEU,N,YYY
,,ajanlasku,chronology,áigelohku,kronologi,kronologi_SWE,kronologi_DEU,N,TIME_OTHER
,,ajatella,think,jurddašit,tenke,tänka,denken,V,HUM_V
,,ajella,drive around,vuojašit,stadig kjøre,köra i lugn och ro,ruhig fahren,V,CITY
,,ajoissa,ajoissa_ENG,áiggil,i tide,i tid,i tide_DEU,Adv,CHRISTMAS
,,ajokortti,driving license,vuodjinkoarta,sertifikat,körkort,sertifikat_DEU,N,TRAVEL
,,ajokoulu,ajokoulu_ENG,vuodjinskuvla,kjøreskole,körskola,kjøreskole_DEU,N,CITY
,,ajoporo,ajoporo_ENG,vuoján,kjøretøy,fordon,kjøretøy_DEU,N,VEHICLE
,,akkalansaame,Akkala Sami,áhkkilsámegiella,akkilsamisk språk,akkilsamisk språk_SWE,akkilsamisk språk_DEU,N,LANGUAGE
,,ala-aste,ala-aste_ENG,mánáidskuvla,barneskole,barnskola,barneskole_DEU,N,CITY
,,ala-aste,ala-aste_ENG,vuolledássi,småtrinnet,småtrinnet_SWE,småtrinnet_DEU,N,EDUCATION
,,alas,alas_ENG,vulos,ned,nere,ned_DEU,Adv,PLACE_ADV
,,alennus,alennus_ENG,vuoládus,rabatt,realisation,rabatt_DEU,N,FINANCE
,,alhaalla,alhaalla_ENG,vuollin,nede,nere,nede_DEU,Adv,PLACE_ADV
,,alkuperäiskansa,indigenous people,álgoálbmot,urbefolkning,urfolk,urbefolkning_DEU,N,OTHERS
,,alkuperäiskansa,indigenous population,eamiálbmot,urbefolkning,urfolk,urbefolkning_DEU,N,OTHERS
,,alkutalvi,alkutalvi_ENG,álgodálvi,forvinter,forvinter_SWE,forvinter_DEU,N,TIME_OTHER
,,alli,alli_ENG,haŋŋá,havelle,havelle_SWE,havelle_DEU,N,BIRD
,,alttari,altar,áltár,alter,alter_SWE,alter_DEU,N,ROOMPART
,,aluspaita,aluspaita_ENG,sisbáidi,undertrøye,undertröja,undertrøye_DEU,N,CLOTHING
,,alussa,alussa_ENG,álggos,i begynnelsen,i början,i begynnelsen_DEU,Adv,TIME_ADV
,,alusvaate,underwear,vuolildusbivttas,underbukse,underbukse_SWE,underbukse_DEU,N,CLOTHING
,,ampua,shoot,báhčit,skyte,skjuta,schießen,V,ANIMAL_V
,,ankarasti,ankarasti_ENG,áŋgirit,ivrig,ivrig,ivrig_DEU,Adv,DIV_ADV
,,anoppi,mother in law,vuoni,svigermor,svärmor,svigermor_DEU,N,FAMILY
,,ansio,ansio_ENG,dienas,fortjeneste,inkomst,fortjeneste_DEU,N,FINANCE
,,antaa selkään,antaa selkään_ENG,sealgádit,jule,jule_SWE,jule_DEU,V,YYY
,,antaa vähän,give a little,attestit,gi litt,ge lite grann,ein wenig geben,V,HUM_V
,,antaa,give,addit,gi,ge,geben,V,CHRISTMAS
,,appiukko,father in law,vuohppa,svigerfar,svärfar,svigerfar_DEU,N,FAMILY
,,apuraha,grant,veahkkeruhta,pengestøtte,ekonomiskt stöd,pengestøtte_DEU,N,FINANCE
,,arkipäivä,arkipäivä_ENG,árga,hverdag,vardag,hverdag_DEU,N,TIME_OTHER
,,arkivaatteet,arkivaatteet_ENG,árgabivttas,hverdagsplagg,vardagskläder,hverdagsplagg_DEU,N,CLOTHING
,,arvella,arvella_ENG,árvalit,ymte,ymte_SWE,ymte_DEU,V,VERBAL_V
,,arvio,estimate,árvalus,tanke,tanke_SWE,tanke_DEU,N,TEXT
,,arvioida,arvioida_ENG,árvvoštallat,vurdere,värdera,vurdere_DEU,V,HUM_V
,,arvoitus,riddle,árvádus,gåte,gåta,gåte_DEU,N,TEXT
,,arvokas,valuable,mávssolaš,verdifull,värdefull,verdifull_DEU,A,ISSUE_A
,,asema,position,sajádat,beliggenhet,beliggenhet_SWE,beliggenhet_DEU,N,YYY
,,asia,asia_ENG,earán,ærend,ärende,ærend_DEU,N,ARRANGEMENT
,,askarrella,pusle med_ENG,buđaldit,pusle med,pusle med_SWE,pusle med_DEU,V,HUM_V
